pt        CrossSectionRatio   errHigh        errLow         
4.0       0.59371891          0.07523272     0.01460161     
6.0       0.54960063          0.03635457     0.02833483     
7.0       0.53557405          0.02732315     0.02551875     
8.0       0.52142336          0.02228491     0.02253096     
9.0       0.50863356          0.01986748     0.01542759     
10.0      0.49675987          0.01852378     0.01181075     
12.0      0.47943169          0.01311150     0.00943971     
14.0      0.46546275          0.00974181     0.00997684     
16.0      0.45299365          0.00857176     0.01153095     
20.0      0.43148488          0.00756505     0.01056475     
25.0      0.41168011          0.00531067     0.00866593     
30.0      0.39326072          0.00663632     0.00481400     
50.0      0.35344098          0.00314095     0.00852556     
70.0      0.32532490          0.00282209     0.00894268     
100.0     0.29495682          0.00711064     0.01000066     
