pt        CrossSectionRatio   errHigh        errLow         
4.0       0.75978355          0.04770304     0.01287500     
6.0       0.72602979          0.02909609     0.01550178     
7.0       0.71544318          0.02201076     0.02269171     
8.0       0.70797100          0.01652143     0.02069476     
9.0       0.69842674          0.01369797     0.01300867     
10.0      0.68877265          0.01526251     0.01048699     
12.0      0.67588118          0.01190862     0.00626186     
14.0      0.66492419          0.00854898     0.00700067     
16.0      0.65691077          0.00579829     0.00917387     
20.0      0.63924194          0.00719779     0.00763548     
25.0      0.62412204          0.00384031     0.00838878     
30.0      0.61101577          0.00382700     0.00564644     
50.0      0.57525580          0.00317795     0.00695931     
70.0      0.55186340          0.00205091     0.00811210     
100.0     0.52425773          0.00643598     0.00911368     
