pt	ratio_central	ratio_error
# ROO(pi0) / ROO(PromptPhoton) for EPPS21
# pt (GeV/c)	ratio	error
4.000000e+00	1.069245e+00	2.588926e-02
6.000000e+00	1.081048e+00	3.101650e-02
7.000000e+00	1.084786e+00	3.172717e-02
8.000000e+00	1.087994e+00	3.245691e-02
9.000000e+00	1.087949e+00	3.352218e-02
1.000000e+01	1.089731e+00	3.383459e-02
1.200000e+01	1.088641e+00	3.369926e-02
1.400000e+01	1.087430e+00	3.350234e-02
1.600000e+01	1.086080e+00	3.283509e-02
2.000000e+01	1.081329e+00	3.066818e-02
2.500000e+01	1.076583e+00	2.787305e-02
3.000000e+01	1.071039e+00	2.601943e-02
5.000000e+01	1.053996e+00	2.003026e-02
7.000000e+01	1.046273e+00	1.748617e-02
1.000000e+02	1.042563e+00	1.633361e-02
