pt	ratio_central	ratio_error
# ROO(pi0) / ROO(PromptPhoton) for TUJU21nlo
# pt (GeV/c)	ratio	error
4.000000e+00	1.090948e+00	2.876437e-02
6.000000e+00	1.085484e+00	2.728986e-02
7.000000e+00	1.085642e+00	2.667369e-02
8.000000e+00	1.082477e+00	2.567711e-02
9.000000e+00	1.080752e+00	2.550732e-02
1.000000e+01	1.079984e+00	2.506003e-02
1.200000e+01	1.076269e+00	2.408154e-02
1.400000e+01	1.074695e+00	2.368159e-02
1.600000e+01	1.073782e+00	2.346890e-02
2.000000e+01	1.070777e+00	2.278911e-02
2.500000e+01	1.069228e+00	2.208063e-02
3.000000e+01	1.066799e+00	2.127041e-02
5.000000e+01	1.063608e+00	1.909014e-02
7.000000e+01	1.062881e+00	1.767885e-02
1.000000e+02	1.063289e+00	1.705740e-02
