pt	ratio_central	ratio_error
# ROO(pi0) / ROO(PromptPhoton) for nCTEQ15HQ
# pt (GeV/c)	ratio	error
4.000000e+00	1.105297e+00	1.900128e-02
6.000000e+00	1.102462e+00	2.147854e-02
7.000000e+00	1.098595e+00	2.316156e-02
8.000000e+00	1.096957e+00	2.493405e-02
9.000000e+00	1.094263e+00	2.546655e-02
1.000000e+01	1.093100e+00	2.682777e-02
1.200000e+01	1.087621e+00	2.660581e-02
1.400000e+01	1.083522e+00	2.734548e-02
1.600000e+01	1.080459e+00	2.801681e-02
2.000000e+01	1.074658e+00	3.025566e-02
2.500000e+01	1.070081e+00	3.059774e-02
3.000000e+01	1.065839e+00	3.016853e-02
5.000000e+01	1.058928e+00	2.691046e-02
7.000000e+01	1.059779e+00	2.269427e-02
1.000000e+02	1.067886e+00	1.792744e-02
