pt	ratio_central	ratio_error
# ROO(pi0) / ROO(PromptPhoton) for nNNPDF30
# pt (GeV/c)	ratio	error
4.000000e+00	1.012650e+00	1.860934e-02
6.000000e+00	1.017788e+00	2.073254e-02
7.000000e+00	1.018560e+00	2.141837e-02
8.000000e+00	1.022154e+00	2.330360e-02
9.000000e+00	1.023814e+00	2.437680e-02
1.000000e+01	1.024999e+00	2.508522e-02
1.200000e+01	1.027759e+00	2.588307e-02
1.400000e+01	1.029076e+00	2.692721e-02
1.600000e+01	1.031925e+00	2.845545e-02
2.000000e+01	1.034749e+00	2.949246e-02
2.500000e+01	1.037329e+00	3.212513e-02
3.000000e+01	1.042892e+00	3.361925e-02
5.000000e+01	1.050569e+00	3.454766e-02
7.000000e+01	1.058853e+00	3.639548e-02
1.000000e+02	1.067345e+00	3.914648e-02
