pt	ratio_central	ratio_error
# RpO(pi0) / RpO(PromptPhoton) for EPPS21
# pt (GeV/c)	ratio	error
4.000000e+00	1.030892e+00	1.210317e-02
6.000000e+00	1.039667e+00	1.593901e-02
7.000000e+00	1.040252e+00	1.480976e-02
8.000000e+00	1.045007e+00	1.717411e-02
9.000000e+00	1.042835e+00	1.652023e-02
1.000000e+01	1.044918e+00	1.657635e-02
1.200000e+01	1.043004e+00	1.616257e-02
1.400000e+01	1.043821e+00	1.566611e-02
1.600000e+01	1.043083e+00	1.575872e-02
2.000000e+01	1.039429e+00	1.465670e-02
2.500000e+01	1.037298e+00	1.328020e-02
3.000000e+01	1.034860e+00	1.244650e-02
5.000000e+01	1.026479e+00	9.814831e-03
7.000000e+01	1.023044e+00	8.317058e-03
1.000000e+02	1.020490e+00	8.052414e-03
