pt	ratio_central	ratio_error
# RpO(pi0) / RpO(PromptPhoton) for TUJU21nlo
# pt (GeV/c)	ratio	error
4.000000e+00	1.043028e+00	1.294790e-02
6.000000e+00	1.038871e+00	1.255421e-02
7.000000e+00	1.042290e+00	1.255299e-02
8.000000e+00	1.040187e+00	1.212223e-02
9.000000e+00	1.038683e+00	1.173192e-02
1.000000e+01	1.039022e+00	1.202729e-02
1.200000e+01	1.037215e+00	1.140246e-02
1.400000e+01	1.036080e+00	1.149816e-02
1.600000e+01	1.035499e+00	1.103916e-02
2.000000e+01	1.034639e+00	1.087152e-02
2.500000e+01	1.034252e+00	1.051043e-02
3.000000e+01	1.033099e+00	1.029054e-02
5.000000e+01	1.030975e+00	8.909489e-03
7.000000e+01	1.030887e+00	8.431722e-03
1.000000e+02	1.030615e+00	8.157408e-03
