pt	ratio_central	ratio_error
# RpO(pi0) / RpO(PromptPhoton) for nCTEQ15HQ
# pt (GeV/c)	ratio	error
4.000000e+00	1.047977e+00	8.457147e-03
6.000000e+00	1.047605e+00	9.974559e-03
7.000000e+00	1.047663e+00	1.038076e-02
8.000000e+00	1.047556e+00	1.264330e-02
9.000000e+00	1.044840e+00	1.136081e-02
1.000000e+01	1.045231e+00	1.294185e-02
1.200000e+01	1.042461e+00	1.270407e-02
1.400000e+01	1.041575e+00	1.421135e-02
1.600000e+01	1.039567e+00	1.471991e-02
2.000000e+01	1.035677e+00	1.424688e-02
2.500000e+01	1.033876e+00	1.443123e-02
3.000000e+01	1.032048e+00	1.457678e-02
5.000000e+01	1.028686e+00	1.309571e-02
7.000000e+01	1.029022e+00	1.101871e-02
1.000000e+02	1.032932e+00	8.800175e-03
