pt	ratio_central	ratio_error
# RpO(pi0) / RpO(PromptPhoton) for nNNPDF30
# pt (GeV/c)	ratio	error
4.000000e+00	1.006230e+00	9.390990e-03
6.000000e+00	1.009226e+00	1.048546e-02
7.000000e+00	1.008664e+00	1.048915e-02
8.000000e+00	1.011279e+00	1.177569e-02
9.000000e+00	1.012222e+00	1.252148e-02
1.000000e+01	1.012502e+00	1.278114e-02
1.200000e+01	1.013799e+00	1.282681e-02
1.400000e+01	1.013934e+00	1.307459e-02
1.600000e+01	1.015803e+00	1.418297e-02
2.000000e+01	1.016941e+00	1.444193e-02
2.500000e+01	1.017774e+00	1.669250e-02
3.000000e+01	1.021734e+00	1.740742e-02
5.000000e+01	1.024568e+00	1.722767e-02
7.000000e+01	1.028617e+00	1.791800e-02
1.000000e+02	1.032389e+00	1.871626e-02
