pt	ROO	error
4.0	0.8034952394607401	0.11548340972627352
6.0	0.8522299414451681	0.09570317953253704
7.0	0.8704911552667729	0.08888991379573538
8.0	0.8865731557534198	0.08240181053219889
9.0	0.8988306726470174	0.0777725376917639
10.0	0.9103044107350334	0.07384767463792141
12.0	0.9280416561000595	0.06798259989116226
14.0	0.9423754971121446	0.06360896074232443
16.0	0.9537997834652241	0.060184535264437705
20.0	0.9720837327131191	0.05582165071543974
25.0	0.9881518226352543	0.052183773422661534
30.0	0.999751975723456	0.050377678313446805
50.0	1.0182382513409423	0.047806009860512255
70.0	1.0209208552835873	0.04756354204154821
100.0	1.0143459783454187	0.04738955860145316
