pt	RpO	error
4.0	0.8839788873145942	0.07066312872098868
6.0	0.9049884700227757	0.058061298166501726
7.0	0.9173833067526833	0.05400723959940072
8.0	0.9259316947901068	0.0505178956152514
9.0	0.9306267081310193	0.04714365701404828
10.0	0.9353222318065888	0.045657653733735606
12.0	0.947400676782292	0.041216659253310625
14.0	0.9540902916600392	0.03811497143789751
16.0	0.9603711696554761	0.03566452934845853
20.0	0.9686373456603776	0.03297865988946211
25.0	0.9785538565416098	0.029835954653105762
30.0	0.9851064131594902	0.028074991369643525
50.0	1.000240736388279	0.02468592515355518
70.0	1.0066641111718357	0.02369563791357521
100.0	1.0096383990912876	0.023302982796096695
