pt	RpO	error
4.0	0.951040048456359	0.0435774974597402
6.0	0.9616664830449208	0.038198264174621875
7.0	0.9693793774375907	0.03295209444018568
8.0	0.9733672920726422	0.03069248139941002
9.0	0.9756595529844192	0.03034645954816986
10.0	0.979196261831611	0.028424766595764383
12.0	0.9841579063948339	0.02353468793427361
14.0	0.9870533565596639	0.021457220062578462
16.0	0.9896144269812074	0.019012443772934415
20.0	0.9930686720718876	0.015901910487140392
25.0	0.9966289959973819	0.011011157540492651
30.0	0.9987125389142578	0.008419034315415623
50.0	1.003427241580498	0.004287021061786092
70.0	1.0053607111594967	0.008234004921908676
100.0	1.0073834670799846	0.012934112020535293
