pt	RpO	error
4.0	0.9857583625993271	0.017555150910379035
6.0	0.997111779267096	0.01478347920705062
7.0	1.0013835663485835	0.014191961170599477
8.0	1.0042729064855211	0.013345078841510628
9.0	1.0061730191176133	0.013033468827679164
10.0	1.0084774656104176	0.012546887750849448
12.0	1.0107016403036324	0.012133203314546759
14.0	1.0137966362082638	0.011517941767198527
16.0	1.0157114650995893	0.011110309633618014
20.0	1.0187612484089814	0.010652526520289318
25.0	1.0220377982626925	0.010455277589056249
30.0	1.0236218966984294	0.009932943066713756
50.0	1.025589456446406	0.009060963684508322
70.0	1.0236990254030007	0.008440855825333823
100.0	1.016709146892498	0.008161912613445198
