pt	RpO	error
4.0	0.9757986231634604	0.04421444710382831
6.0	0.9835831454655527	0.03569516272945166
7.0	0.9842240925150976	0.033660103000505974
8.0	0.987301876931852	0.030652626172294944
9.0	0.9882804651872188	0.028102457680506933
10.0	0.9892237909884747	0.026301616442657785
12.0	0.990882903488453	0.02363964005077296
14.0	0.9924900164146155	0.021770137454019765
16.0	0.9949035888052636	0.019298025215072588
20.0	0.9971669522441279	0.016021405303933423
25.0	1.0000021859354764	0.012253209252712107
30.0	1.0024318010826494	0.01043539623466302
50.0	1.0082617960256666	0.012213907581326233
70.0	1.0118593970749807	0.017148530145570225
100.0	1.0135784003706427	0.023068049979594628
