pt	ROO	error
4.0	0.9292775026121531	0.07908418014284896
6.0	0.9545678095912401	0.06323304767234258
7.0	0.963007880209381	0.05617999349331386
8.0	0.9698136981884377	0.05050464725387946
9.0	0.9753281462384867	0.04603516602953049
10.0	0.9798918227014284	0.0413987082161711
12.0	0.98644311465803	0.034953972954031035
14.0	0.9911699597501289	0.028524170970350243
16.0	0.994920521224456	0.023175147888865336
20.0	0.999918984602861	0.015203802607474575
25.0	1.003833400791877	0.008933819825869806
30.0	1.0059910386185529	0.008446371629097223
50.0	1.0107972585894716	0.021394427075801564
70.0	1.014614266363662	0.02939647851648338
100.0	1.0208027462624325	0.03499614593306655
