pt	ROO	error
4.0	0.9623375746578903	0.08342496316381126
6.0	0.9689984548331573	0.0676866948336822
7.0	0.9719901594375945	0.06283442838715612
8.0	0.9762057599423596	0.05741062870685232
9.0	0.9786589322262856	0.053267869152320756
10.0	0.981055433525983	0.04992647287614738
12.0	0.985093182222084	0.04448824310985908
14.0	0.9885184729882077	0.04008813365849516
16.0	0.9922711895851737	0.03566426442020539
20.0	0.9972716655018253	0.029804243713879828
25.0	1.0025428926562412	0.02388020060909001
30.0	1.0072476760298867	0.02117679045609309
50.0	1.0192809679981687	0.02623329454922769
70.0	1.0264330619647817	0.03673866733464222
100.0	1.0314880221105922	0.049212838560303264
