pt	RpO	error
4.0	0.9018905199674404	0.062034386126914795
6.0	0.9304100487298342	0.04877190322461568
7.0	0.9376228261605699	0.045813207787972376
8.0	0.9477790171346363	0.041882977774665056
9.0	0.9538191402248842	0.039267844248491945
10.0	0.9598769571120195	0.03716553125374483
12.0	0.9681013493319333	0.03403187354037615
14.0	0.9750868327259116	0.031866156942072524
16.0	0.9813680582087085	0.029837552054436587
20.0	0.9899786167939572	0.02750449955827545
25.0	0.9972430937533268	0.02585139614300251
30.0	1.0024719685705192	0.02485638318293
50.0	1.0109151251520383	0.023487852686255202
70.0	1.0121056586689425	0.023244492359348612
100.0	1.0091116079375066	0.02323308792357681
