pt	RpO	error
4.0	0.9636605416099655	0.04018181446894011
6.0	0.97715413182752	0.031448906231108485
7.0	0.9811692155480808	0.02890280799768439
8.0	0.9853841869612223	0.024665581080278207
9.0	0.9879223712430675	0.022836764051738276
10.0	0.9902925156604769	0.020414499084560573
12.0	0.9932665796209211	0.017628081411826375
14.0	0.9957374668834166	0.014221063807610401
16.0	0.9976893205604648	0.011176874709516962
20.0	1.0000671421076102	0.007521886753855122
25.0	1.0018258989500888	0.004603284533139163
30.0	1.0030631541395802	0.004251189288282765
50.0	1.0055276845618586	0.0106848883480929
70.0	1.0075899237557988	0.014746917224032218
100.0	1.010826338072037	0.01750933636106943
