pt	RpO	error
4.0	0.9901219853639364	0.01698915531399016
6.0	0.9995765027857085	0.014656898578045262
7.0	1.0040440238833757	0.014040762523157415
8.0	1.0064239406779403	0.013358634104183024
9.0	1.0088530029083207	0.012891565612665589
10.0	1.0106115695287547	0.012372843588818018
12.0	1.012834922917195	0.012027313601624762
14.0	1.0157935250654893	0.01143140079945243
16.0	1.0173631342718001	0.011182190157193014
20.0	1.0203638897407923	0.010586598245800716
25.0	1.0233757805988424	0.010445023196397384
30.0	1.0246603019188543	0.009977425174003669
50.0	1.0267449440847962	0.009186042631008175
70.0	1.0250786854914014	0.008571135981032162
100.0	1.0190290247571145	0.008374550319486035
