pt	RpO	error
4.0	0.9789016976316385	0.049167909267278126
6.0	0.9809471157072258	0.03928787974288805
7.0	0.9842557353796703	0.035913253212648856
8.0	0.9853941894385628	0.03356753661630368
9.0	0.985471669056209	0.032136377111499415
10.0	0.9863847670451146	0.03093478532263132
12.0	0.9894143256791025	0.02720633986599519
14.0	0.990520035171913	0.0246941292852418
16.0	0.9919851093754581	0.02266556826204304
20.0	0.9934123321495737	0.02023893757995278
25.0	0.9965954483645866	0.01649281652650347
30.0	0.9981954467217261	0.014405091789993945
50.0	1.004483814787883	0.010216183041477402
70.0	1.0076875067246422	0.011440552022718804
100.0	1.011607237914828	0.015848835747819173
