pt	ROO	error
7.0	0.7516707560608229	0.11404811721964755
9.0	0.783366347371	0.10370931990765554
11.0	0.8088081088588991	0.0950798969856843
13.0	0.82927907299394	0.0876485762027286
15.0	0.8467227845869003	0.08202391704962883
17.0	0.8611377560973253	0.07680811139371985
19.0	0.8735270653750931	0.07287354620599096
22.5	0.8929827081426563	0.06671097344654903
27.5	0.9140675556350173	0.05988158773797644
35.0	0.9353246944924326	0.053507214081077975
50.0	0.9602430348982898	0.04676790215226871
70.0	0.9766770808445733	0.042693716326665326
90.0	0.9793065424032087	0.04118981696588666
