pt	ROO	error
7.0	0.780090085119266	0.10199333116962707
9.0	0.8103867042574961	0.0937388068241898
11.0	0.8115587646746257	0.09092250834433638
13.0	0.8533140100589496	0.0784551252358502
15.0	0.8608031141407925	0.08473175601708964
17.0	0.8627726036170779	0.07887527901681492
19.0	0.8887451888038015	0.06689617815259738
22.5	0.9109575432292566	0.06389484257621393
27.5	0.9181108608473862	0.05713168407695481
35.0	0.9442633817152731	0.0528764127221198
50.0	0.9632340051917807	0.044867759677736374
70.0	0.9788934445826089	0.04644006246821746
90.0	0.9867095898761377	0.043851327872928905
