pt	ROO	error
7.0	0.9027066145024571	0.040906504645377775
9.0	0.9150208566530671	0.03275986771085481
11.0	0.9490821327456388	0.04623888557185174
13.0	0.9401341921789172	0.03367652128287187
15.0	0.9569463624392627	0.03502944261206022
17.0	0.9759736915201739	0.03573602283554576
19.0	0.9540551886755754	0.03669239389885947
22.5	0.9744918748172666	0.03441640829315726
27.5	0.9807509710456818	0.02446909795037248
35.0	0.9905460955667859	0.02484273373297853
50.0	0.9918705200591624	0.020660052899022008
70.0	0.9855834327018974	0.02471183085797462
90.0	0.9859854148910209	0.020768865064928435
