pt	ROO	error
7.0	0.8322302627768458	0.07727850845097084
9.0	0.8759209100075511	0.06667354756081303
11.0	0.8738270385304581	0.07221078122782876
13.0	0.8961727751596619	0.06588957690751039
15.0	0.9159453957606515	0.05376102328862446
17.0	0.9176894104513915	0.05235754059961547
19.0	0.9255946700353328	0.049943601531017894
22.5	0.9257962929229744	0.05086653293563451
27.5	0.9405525342988383	0.0357184903120395
35.0	0.9508576874460805	0.028857669708093017
50.0	0.9551227283693927	0.013098730035221494
70.0	0.9527689600959991	0.01878671009165069
90.0	0.9567933541340516	0.01750720012186476
