pt	ROO	error
7.0	0.9503258896703232	0.0802223516564083
9.0	0.9489000022550984	0.07295422702994653
11.0	0.9537900230714258	0.06881285009191782
13.0	0.9565447426734824	0.06222390489425788
15.0	0.9591620454886325	0.060470037670319436
17.0	0.954182038540435	0.05702923522310546
19.0	0.9595798990728573	0.05368233005899522
22.5	0.968654783872601	0.04806989514822668
27.5	0.9616827862542706	0.04248598082357196
35.0	0.9680736653336423	0.037913399094700644
50.0	0.9682955170868809	0.02944409916577936
70.0	0.975148059427049	0.02412950648667847
90.0	0.9752064944016765	0.025552503123475498
