pt	RpO	error
7.0	0.86870419536279	0.07678199907444713
9.0	0.8829457900426472	0.06992563890837718
11.0	0.8766570341693768	0.06306422673448925
13.0	0.9021786532662657	0.05942838104640502
15.0	0.9082642003075487	0.056259970987157674
17.0	0.9044186464174158	0.05164864922135377
19.0	0.9146067333081616	0.04925315496779206
22.5	0.9352157777756303	0.04604208508881697
27.5	0.9344882824799916	0.04072900810714609
35.0	0.9499852178935204	0.035758514773523965
50.0	0.9658480085494419	0.030196778411541513
70.0	0.9764941989789616	0.025417642712377266
90.0	0.9877678941817568	0.023187209851811566
