pt	RpO	error
7.0	0.939538501736022	0.021975178045398603
9.0	0.9517913323446375	0.01989186603430181
11.0	0.9602757015587676	0.01934891198303432
13.0	0.961664748547528	0.018003847520691826
15.0	0.9618932994706917	0.017128762432596985
17.0	1.000724010036368	0.016514655745051454
19.0	0.9740664888504601	0.015995279521221636
22.5	0.972215634439311	0.015365176601384695
27.5	0.9848059464084218	0.014692300030323194
35.0	0.9875040533689229	0.013396772623139156
50.0	0.9916469981483104	0.012326337697953644
70.0	0.9998865063218783	0.011227607072138353
90.0	0.9999869607779517	0.010411811715807035
