pt	RpO	error
7.0	0.9044694402264871	0.04780069137092402
9.0	0.9257630534074144	0.044453547347409215
11.0	0.9208691514120821	0.043220013015448124
13.0	0.926982200235804	0.039832611934123005
15.0	0.9590945964169243	0.038778457563097155
17.0	0.95540780331407	0.035210138612759796
19.0	0.9541147771256638	0.03455479336200622
22.5	0.9617703028473453	0.032195947642871536
27.5	0.9569607390257348	0.02889691371461659
35.0	0.968269588797896	0.023971652796391362
50.0	0.972957891296499	0.017906477590703983
70.0	0.9756325281209941	0.010886617640953845
90.0	0.9822817972400759	0.006414337438552807
