pt	RpO	error
7.0	0.97146903987926	0.08474552394284919
9.0	0.9775564405525434	0.07555940122276551
11.0	0.9728258690898176	0.06680788567108535
13.0	0.9716540089617764	0.05896326618808218
15.0	0.9859830254913231	0.055126445708770594
17.0	0.982855182584112	0.05067281007273483
19.0	0.979434572831863	0.05051953501748741
22.5	0.9734735955397472	0.04347887743349718
27.5	0.9885416172730048	0.036946561699573624
35.0	0.9845851288933443	0.03329638803071544
50.0	0.982918744179775	0.026296369163274994
70.0	0.9905957306234597	0.020302179338265273
90.0	0.9847410329987455	0.016311633855645692
