# y_lep   ratio   error
-2.125    1.15427    0.0515139
-1.875    1.12197    0.049364
-1.625    1.09902    0.0441381
-1.375    1.07385    0.0404907
-1.125    1.05563    0.0368736
-0.875    1.04375    0.0351806
-0.625    1.0255    0.0330162
-0.375    1.02143    0.0314802
-0.125    1.01629    0.0320212
0.125    1.01941    0.0333756
0.375    1.02219    0.0320385
0.625    1.02727    0.0329035
0.875    1.04546    0.0348314
1.125    1.05273    0.0372727
1.375    1.0764    0.0405498
1.625    1.09581    0.043277
1.875    1.12427    0.0478273
2.125    1.15586    0.0538151
