# y_lep   ratio   error
-2.125    1.18352    0.0363563
-1.875    1.14242    0.0366746
-1.625    1.12113    0.0372628
-1.375    1.09511    0.0398455
-1.125    1.07923    0.0398494
-0.875    1.05913    0.0415116
-0.625    1.04465    0.0423893
-0.375    1.04021    0.0438483
-0.125    1.03679    0.0430742
0.125    1.0333    0.044057
0.375    1.04034    0.043191
0.625    1.04398    0.0419123
0.875    1.06607    0.0411367
1.125    1.07692    0.0410575
1.375    1.09525    0.0390974
1.625    1.12045    0.0373238
1.875    1.14731    0.0373499
2.125    1.18195    0.0368904
