# y_lep   ratio   error
-2.125    1.16263    0.0207344
-1.875    1.12619    0.0187379
-1.625    1.09042    0.0176677
-1.375    1.06307    0.0158407
-1.125    1.03659    0.0151155
-0.875    1.01866    0.0168205
-0.625    1.00188    0.0158922
-0.375    0.990119    0.0177416
-0.125    0.985484    0.0181846
0.125    0.984282    0.0166368
0.375    0.98894    0.0182584
0.625    1.00408    0.0168963
0.875    1.01645    0.0155206
1.125    1.03729    0.0154865
1.375    1.06137    0.0146765
1.625    1.08983    0.0175276
1.875    1.12653    0.0177564
2.125    1.16235    0.0219431
