# y_lep   ratio   error
-2.125    1.22325    0.0378667
-1.875    1.18647    0.0357433
-1.625    1.16317    0.035346
-1.375    1.13553    0.036581
-1.125    1.11671    0.0349238
-0.875    1.09443    0.0391134
-0.625    1.0787    0.0386651
-0.375    1.06698    0.0408864
-0.125    1.06458    0.0420986
0.125    1.06532    0.0431959
0.375    1.06686    0.0402064
0.625    1.08213    0.039474
0.875    1.0954    0.0386214
1.125    1.11073    0.0347309
1.375    1.13721    0.0343949
1.625    1.16287    0.0370066
1.875    1.18623    0.0355422
2.125    1.22905    0.0382213
