# y_lep   ratio   error
-2.125    1.17322    0.0134682
-1.875    1.13763    0.0132796
-1.625    1.10712    0.0139605
-1.375    1.07883    0.0138025
-1.125    1.04728    0.0141953
-0.875    1.03198    0.0157675
-0.625    1.00409    0.0173594
-0.375    0.992037    0.0182829
-0.125    0.97473    0.0210518
0.125    0.958282    0.0247631
0.375    0.942028    0.0285479
0.625    0.935146    0.0318735
0.875    0.919815    0.0356503
1.125    0.91257    0.0379261
1.375    0.90141    0.040076
1.625    0.899356    0.0440421
1.875    0.884134    0.0450604
2.125    0.882156    0.0491755
