# y_lep   ratio   error
-2.125    1.16031    0.0223597
-1.875    1.1294    0.0221192
-1.625    1.1053    0.0209981
-1.375    1.08166    0.0214248
-1.125    1.0596    0.0206175
-0.875    1.03328    0.0209713
-0.625    1.02121    0.0220794
-0.375    1.00964    0.0213899
-0.125    0.993448    0.0210998
0.125    0.98908    0.0211471
0.375    0.973882    0.01927
0.625    0.969767    0.0206846
0.875    0.961407    0.0192554
1.125    0.958538    0.0201449
1.375    0.949856    0.0199805
1.625    0.946415    0.0197487
1.875    0.94218    0.0199752
2.125    0.93916    0.0207458
