# y_lep   ratio   error
-2.125    1.17172    0.00844004
-1.875    1.12519    0.00975361
-1.625    1.10098    0.00800757
-1.375    1.06396    0.00945476
-1.125    1.03793    0.00837187
-0.875    1.01972    0.00928967
-0.625    0.995418    0.00911949
-0.375    0.982524    0.0107717
-0.125    0.971208    0.0115592
0.125    0.959936    0.0144634
0.375    0.947654    0.0128872
0.625    0.940019    0.0160654
0.875    0.931109    0.0169831
1.125    0.928133    0.0179611
1.375    0.918207    0.0192675
1.625    0.911717    0.0190767
1.875    0.911765    0.0201371
2.125    0.901789    0.020425
