# y_lep   ratio   error
-2.125    1.16052    0.020516
-1.875    1.13448    0.0168144
-1.625    1.10708    0.0134126
-1.375    1.08813    0.0130291
-1.125    1.0579    0.0145786
-0.875    1.04822    0.0166679
-0.625    1.02778    0.0194047
-0.375    1.02237    0.0226711
-0.125    1.00848    0.0254677
0.125    1.00514    0.0303016
0.375    1.00055    0.0301503
0.625    0.99092    0.0317799
0.875    0.98891    0.0333283
1.125    0.986604    0.0332852
1.375    0.983699    0.0356163
1.625    0.981513    0.0358086
1.875    0.982558    0.0356494
2.125    0.978751    0.0373702
