# y_lep   ratio   error
-2.125    0.706669    0.0359098
-1.875    0.732737    0.0346305
-1.625    0.761459    0.0341236
-1.375    0.787105    0.030377
-1.125    0.808312    0.0311453
-0.875    0.823481    0.0287605
-0.625    0.837035    0.0278912
-0.375    0.846742    0.0269967
-0.125    0.850927    0.0274285
0.125    0.848445    0.0256934
0.375    0.845135    0.0288937
0.625    0.838237    0.0273739
0.875    0.824442    0.0285323
1.125    0.808675    0.0295334
1.375    0.785958    0.0324263
1.625    0.761982    0.0331058
1.875    0.734634    0.0353002
2.125    0.704197    0.0363249
