# y_lep   ratio   error
-2.125    0.730167    0.0227458
-1.875    0.757367    0.023052
-1.625    0.789166    0.026213
-1.375    0.812836    0.0279854
-1.125    0.831751    0.0302505
-0.875    0.848523    0.0311003
-0.625    0.859225    0.0338527
-0.375    0.873326    0.0346359
-0.125    0.873595    0.0355146
0.125    0.87449    0.0349964
0.375    0.867862    0.0348036
0.625    0.864018    0.0338799
0.875    0.847154    0.0321397
1.125    0.837921    0.0302577
1.375    0.806182    0.0267153
1.625    0.788606    0.0260662
1.875    0.760253    0.0234987
2.125    0.728602    0.0220827
