# y_lep   ratio   error
-2.125    0.732307    0.0133323
-1.875    0.749561    0.0116577
-1.625    0.772672    0.0128667
-1.375    0.783731    0.0135564
-1.125    0.802055    0.0136592
-0.875    0.804301    0.0149504
-0.625    0.811673    0.0140099
-0.375    0.813452    0.016442
-0.125    0.816128    0.0152865
0.125    0.81229    0.0164097
0.375    0.815621    0.015289
0.625    0.811972    0.0152026
0.875    0.808905    0.0138708
1.125    0.800639    0.013349
1.375    0.786498    0.0132694
1.625    0.768687    0.0129489
1.875    0.750626    0.0133133
2.125    0.724581    0.0131682
