# y_lep   ratio   error
-2.125    0.768422    0.0266396
-1.875    0.793965    0.027401
-1.625    0.81425    0.0276673
-1.375    0.832569    0.0280626
-1.125    0.845157    0.0296232
-0.875    0.853389    0.0289443
-0.625    0.863367    0.0309046
-0.375    0.866336    0.0310517
-0.125    0.86922    0.0322907
0.125    0.865984    0.0309687
0.375    0.869592    0.0313375
0.625    0.863155    0.0293964
0.875    0.853697    0.0288931
1.125    0.847038    0.0287685
1.375    0.828789    0.0280561
1.625    0.814457    0.0271845
1.875    0.790191    0.0273561
2.125    0.772403    0.0265969
