# y_lep   ratio   error
-2.125    0.857988    0.00978025
-1.875    0.875689    0.0100578
-1.625    0.899487    0.0108237
-1.375    0.907219    0.0118393
-1.125    0.915785    0.0111649
-0.875    0.917817    0.0122175
-0.625    0.924281    0.0141662
-0.375    0.918717    0.0165743
-0.125    0.914466    0.021213
0.125    0.916081    0.0227221
0.375    0.909149    0.0272187
0.625    0.89815    0.0318406
0.875    0.902034    0.0346487
1.125    0.892252    0.0397187
1.375    0.883703    0.041846
1.625    0.887073    0.0466432
1.875    0.882942    0.0486314
2.125    0.876469    0.0506671
