# y_lep   ratio   error
-2.125    0.849346    0.0145922
-1.875    0.877369    0.0172995
-1.625    0.889822    0.0161486
-1.375    0.906337    0.0171735
-1.125    0.921424    0.0168827
-0.875    0.927948    0.0168359
-0.625    0.928761    0.0193695
-0.375    0.938545    0.0196171
-0.125    0.940923    0.0175911
0.125    0.938065    0.0206912
0.375    0.940839    0.0193788
0.625    0.940269    0.0216982
0.875    0.934573    0.0175113
1.125    0.932601    0.0232518
1.375    0.935077    0.0201069
1.625    0.928208    0.0196615
1.875    0.927746    0.0224234
2.125    0.917774    0.0204544
