# y_lep   ratio   error
-2.125    0.871041    0.00599993
-1.875    0.879927    0.00593414
-1.625    0.893848    0.00558166
-1.375    0.901773    0.00674794
-1.125    0.90587    0.00697197
-0.875    0.909002    0.00695439
-0.625    0.906527    0.0097295
-0.375    0.906726    0.00989727
-0.125    0.906749    0.0108023
0.125    0.909901    0.0133034
0.375    0.908295    0.0144692
0.625    0.90277    0.0162024
0.875    0.898079    0.015815
1.125    0.90057    0.0176177
1.375    0.89719    0.0200682
1.625    0.897873    0.0197365
1.875    0.889506    0.0190435
2.125    0.893813    0.0231201
