# y_lep   ratio   error
-2.125    0.851153    0.0126054
-1.875    0.870095    0.012218
-1.625    0.887252    0.0100469
-1.375    0.900763    0.0106598
-1.125    0.913297    0.0123893
-0.875    0.921571    0.0132242
-0.625    0.934893    0.0170307
-0.375    0.934273    0.020641
-0.125    0.946234    0.0229797
0.125    0.948672    0.0262744
0.375    0.957306    0.0280507
0.625    0.959837    0.0294642
0.875    0.9631    0.0309448
1.125    0.96067    0.0325561
1.375    0.96683    0.0344577
1.625    0.971991    0.0361659
1.875    0.969739    0.0372252
2.125    0.973306    0.0369329
