# y_dilep   ratio   error
-2.1    0.924259    0.0433594
-1.9    0.933866    0.042309
-1.7    0.940071    0.0384295
-1.5    0.940829    0.0364632
-1.3    0.946889    0.0345617
-1.1    0.949271    0.0322211
-0.9    0.950536    0.0314395
-0.7    0.950677    0.0284552
-0.5    0.953569    0.0281504
-0.3    0.95387    0.0284334
-0.1    0.952389    0.0277601
0.1    0.953764    0.028713
0.3    0.953842    0.0284094
0.5    0.951973    0.0276568
0.7    0.951843    0.029964
0.9    0.951102    0.0300542
1.1    0.950035    0.0329337
1.3    0.944695    0.0344457
1.5    0.94676    0.0368678
1.7    0.937134    0.0397229
1.9    0.933273    0.0415877
2.1    0.926008    0.0437746
