# y_dilep   ratio   error
-2.1    0.942912    0.0310369
-1.9    0.954991    0.0320775
-1.7    0.965509    0.0321507
-1.5    0.970879    0.0346789
-1.3    0.976187    0.0366275
-1.1    0.976822    0.0379435
-0.9    0.978753    0.0402181
-0.7    0.97798    0.042088
-0.5    0.97802    0.0441099
-0.3    0.978212    0.0441997
-0.1    0.977499    0.045186
0.1    0.97785    0.045645
0.3    0.979182    0.0445525
0.5    0.977778    0.0437806
0.7    0.978104    0.0424832
0.9    0.977903    0.0400387
1.1    0.978172    0.0380515
1.3    0.974584    0.0357805
1.5    0.969761    0.0340719
1.7    0.965261    0.0329686
1.9    0.951997    0.0320927
2.1    0.945177    0.029836
