# y_dilep   ratio   error
-2.1    0.953133    0.0173007
-1.9    0.950866    0.0144384
-1.7    0.94844    0.0137087
-1.5    0.944213    0.0128144
-1.3    0.942224    0.0127068
-1.1    0.938988    0.0123914
-0.9    0.937488    0.0136232
-0.7    0.934783    0.0146619
-0.5    0.933137    0.0161245
-0.3    0.93307    0.0169588
-0.1    0.932544    0.0170613
0.1    0.931967    0.0172137
0.3    0.933204    0.0171964
0.5    0.934579    0.0160384
0.7    0.933742    0.0146771
0.9    0.937113    0.0141487
1.1    0.938424    0.0126854
1.3    0.943539    0.0124715
1.5    0.946005    0.0131172
1.7    0.947338    0.013479
1.9    0.949453    0.015337
2.1    0.949197    0.0198928
