# y_dilep   ratio   error
-2.1    1.00902    0.0294606
-1.9    1.00462    0.027789
-1.7    1.00338    0.0273299
-1.5    0.997642    0.0275969
-1.3    0.992955    0.028331
-1.1    0.988653    0.0310943
-0.9    0.98182    0.0324531
-0.7    0.978257    0.034883
-0.5    0.974674    0.0370222
-0.3    0.97362    0.037798
-0.1    0.971254    0.0414788
0.1    0.972403    0.0413947
0.3    0.975046    0.0381945
0.5    0.973113    0.0366027
0.7    0.977766    0.0343002
0.9    0.982784    0.0321127
1.1    0.987624    0.030371
1.3    0.99458    0.0281031
1.5    0.997771    0.0276328
1.7    1.00357    0.0260813
1.9    1.00213    0.0279589
2.1    1.00814    0.0293307
