# y_dilep   ratio   error
-2.1    1.02934    0.0138303
-1.9    1.03714    0.0130528
-1.7    1.02743    0.01489
-1.5    1.02177    0.0133301
-1.3    1.01477    0.0145279
-1.1    1.00336    0.0138707
-0.9    0.993178    0.0149117
-0.7    0.984674    0.0146552
-0.5    0.970071    0.0163457
-0.3    0.962369    0.0182711
-0.1    0.95057    0.0199874
0.1    0.93787    0.0231262
0.3    0.930981    0.0254629
0.5    0.918888    0.0290179
0.7    0.913615    0.0319718
0.9    0.904717    0.0346924
1.1    0.900483    0.0373843
1.3    0.893613    0.0396156
1.5    0.88915    0.042418
1.7    0.884036    0.043616
1.9    0.88563    0.0463043
2.1    0.882262    0.0481412
