# y_dilep   ratio   error
-2.1    1.03122    0.0226264
-1.9    1.02676    0.018215
-1.7    1.02458    0.0186433
-1.5    1.02149    0.0188173
-1.3    1.01589    0.0186586
-1.1    1.00975    0.0196739
-0.9    1.00215    0.0205959
-0.7    0.995121    0.0213077
-0.5    0.989188    0.0214702
-0.3    0.982831    0.0217561
-0.1    0.976176    0.0219638
0.1    0.969865    0.0219703
0.3    0.965733    0.0218955
0.5    0.958784    0.0218556
0.7    0.955162    0.0216006
0.9    0.95086    0.0215524
1.1    0.946615    0.0219592
1.3    0.941393    0.0215678
1.5    0.939605    0.0207408
1.7    0.936669    0.0214325
1.9    0.933819    0.0211193
2.1    0.925592    0.0229684
