# y_dilep   ratio   error
-2.1    1.04238    0.0119226
-1.9    1.02843    0.0109319
-1.7    1.02054    0.00972814
-1.5    1.01138    0.00991536
-1.3    1.00298    0.0096614
-1.1    0.993241    0.00796488
-0.9    0.984251    0.00949441
-0.7    0.977021    0.00855914
-0.5    0.968958    0.00881585
-0.3    0.962765    0.0105029
-0.1    0.954839    0.0111539
0.1    0.948244    0.0123467
0.3    0.939289    0.0134744
0.5    0.934912    0.0144239
0.7    0.92864    0.0157274
0.9    0.924081    0.0161029
1.1    0.919395    0.0173254
1.3    0.910369    0.0176876
1.5    0.910808    0.0191638
1.7    0.905925    0.018591
1.9    0.902762    0.0193315
2.1    0.900984    0.0212043
