# y_dilep   ratio   error
-2.1    1.01407    0.0153579
-1.9    1.01726    0.0160213
-1.7    1.0136    0.0141871
-1.5    1.00716    0.0133861
-1.3    1.00022    0.013517
-1.1    0.994167    0.0137414
-0.9    0.991474    0.0165519
-0.7    0.987819    0.0185404
-0.5    0.983318    0.0212009
-0.3    0.984721    0.021531
-0.1    0.97923    0.027674
0.1    0.981151    0.0274331
0.3    0.977176    0.0292353
0.5    0.978136    0.0313277
0.7    0.978428    0.0322354
0.9    0.974865    0.0332385
1.1    0.977693    0.0351262
1.3    0.97512    0.034524
1.5    0.975957    0.0358201
1.7    0.973984    0.0343131
1.9    0.977406    0.0357327
2.1    0.970131    0.0374117
